# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       30.238    10409.031
       1.002      694.000     2242.008    13338.914
       2.003      736.000     3790.852    13338.914
       3.005      582.200     4746.312    13338.914
       4.006      585.200     5562.805    13338.914
       5.007      508.300     5565.047    13338.914
       6.009      443.400     5569.332    13338.914
       7.010      570.200     6041.129    13338.914
       8.012      386.400     6041.277    13338.914
       9.013      617.100     6267.676    13342.945
      10.015      858.700     6724.133    13342.945
      11.016      453.300     6724.465    13342.945
      12.018      485.300     6724.957    13342.945
      13.019      478.300     6776.414    13342.945
      14.021      390.400     6805.062    13342.945
      15.022      631.000     6809.344    13342.945
      16.024      554.100     6811.496    13342.945
      17.025      593.100     6814.094    13342.945
      18.027      613.000     6815.051    13342.945
      19.028      503.100     6815.066    13342.945
      20.030      592.000     6816.891    13342.945
      21.032      649.000     6818.527    13343.953
      22.033      414.300     6818.527    13343.953
      23.035      548.100     6818.531    13343.953
      24.037      596.000     6819.367    13343.953
      25.038      608.000     6820.227    13343.953
      26.040      534.100     6820.344    13343.953
      27.042      576.100     6820.445    13343.953
      28.043      625.000     6820.445    13343.953
      29.045      367.400     6823.629    13343.953
      30.047      278.500     6823.883    13346.977
      31.048      602.000     6824.613    13346.977
      32.050      591.000     6826.242    13346.977
      33.051      606.300     6826.535    13346.977
      34.053      593.100     6828.328    13346.977
      35.054      598.000     6828.328    13346.977
      36.056      605.000     6828.355    13346.977
      37.058      602.000     6840.406    13346.977
      38.059      615.000     6840.430    13346.977
      39.061      556.100     6843.316    13346.977
      40.062      602.100     6843.781    13346.977
      41.064      575.100     6843.809    13346.977
      42.066      599.000     6843.809    13346.977
      43.067      504.200     6843.809    13346.977
      44.069      523.100     6843.809    13346.977
      45.071      692.900     6845.066    13346.977
      46.072      297.500     6855.367    13346.977
      47.074      120.800     6855.367    13346.977
      48.075      533.100     6855.977    13348.992
      49.077      598.000     6856.664    13348.992
      50.079      473.200     6863.863    13348.992
      51.080      587.000     6863.863    13348.992
      52.082      601.000     6863.887    13348.992
      53.084      557.100     6864.273    13348.992
      54.085      599.000     6883.352    13348.992
      55.087      620.000     6883.359    13348.992
      56.089      573.200     6886.488    13348.992
      57.090      598.000     6886.488    13348.992
      58.092      602.000     6886.949    13348.992
      59.093      553.100     6886.973    13348.992
      60.095      602.000     6886.973    13348.992
      61.097      616.000     6886.973    13348.992
      62.098      673.000     6901.867    13348.992
      63.100      602.100     6901.867    13348.992
      64.101      598.000     6901.867    13348.992
      65.103      602.000     6901.867    13348.992
      66.105      564.100     6901.867    13348.992
      67.106      599.100     6901.867    13348.992
      68.108      601.000     6901.906    13348.992
      69.109      530.200     6902.000    13348.992
      70.111      601.000     6902.082    13348.992
      71.113      603.000     6902.109    13348.992
      72.114      598.000     6902.113    13348.992
      73.116      542.100     6902.113    13348.992
      74.117      599.100     6902.113    13348.992
      75.119      642.900     6902.113    13348.992
      76.121      566.100     6909.129    13348.992
      77.122      112.800     6909.328    13348.992
      78.124      477.200     6910.504    13348.992
      79.126      599.000     6910.504    13348.992
      80.127      806.900     6910.625    13348.992
      81.128      753.900     6971.211    13348.992
      82.130      468.200     7012.457    13348.992
      83.132      108.800     7012.625    13348.992
      84.133      145.800     7024.812    13732.992
      85.135      125.800     7024.812    13732.992
      86.136      420.300     7023.461    13732.992
      87.138      598.000     7023.461    13732.992
      88.140      601.000     7023.461    13732.992
      89.142      596.000     7023.777    13732.992
      90.143      598.000     7023.816    13732.992
      91.145      166.700     7023.816    13732.992
      92.147      108.800     7023.816    13732.992
      93.148      602.000     7023.816    13732.992
      94.150      598.000     7024.117    13732.992
      95.152      603.000     7024.117    13732.992
      96.153      596.000     7024.133    13732.992
      97.155      319.500     7024.137    13732.992
      98.157       99.800     7024.137    13732.992
      99.158      402.300     7024.320    13732.992
     100.160      601.000     7024.320    13732.992
     101.162      599.000     7024.320    13732.992
     102.163      552.100     7024.320    13732.992
     103.165      409.300     7024.320    13732.992
     104.167        9.000     7024.559    13732.992
     105.168        7.000     7024.559    13732.992
Time taken (ms): 105094.0
