# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       57.895    98311.289
       1.001       56.900      408.520    98311.289
       2.003       59.900      854.535    98311.289
       3.004       58.900     1306.480    98311.289
       4.006       61.900     1750.434    98311.289
       5.007       55.900     2108.793    98311.289
       6.009       59.900     2551.457    98311.289
       7.010       60.900     3005.465    98311.289
       8.012       58.900     3454.574    98311.289
       9.013       59.900     3895.691    98311.289
      10.015       53.900     4251.215    98311.289
      11.016       57.900     4692.848    98311.289
      12.018       57.900     5139.379    98311.289
      13.019       59.900     5581.527    98311.289
      14.021       58.900     6014.137    98311.289
      15.022       58.900     6449.582    98311.289
      16.024       58.900     6874.199    98311.289
      17.025       54.900     7236.684    98311.289
      18.027       58.900     7671.098    98311.289
      19.029       59.900     8103.965    98311.289
      20.030       58.900     8531.418    98311.289
      21.032       59.900     8964.801    98311.289
      22.033       60.900     9384.520    98311.289
      23.035       58.900     9812.488    98311.289
      24.036       57.900    10233.496    98311.289
      25.038       57.900    10661.980    98311.289
      26.039       59.900    11085.824    98311.289
      27.041       57.900    11516.887    98311.289
      28.042       56.900    11941.246    98311.289
      29.044       60.900    12356.324    98311.289
      30.045       59.900    12777.074    98311.289
      31.047       58.900    13202.465    98311.289
      32.048       59.900    13625.277    98311.289
      33.050       58.900    14070.520    98311.289
      34.051       60.900    14532.262    98311.289
      35.053       57.900    14945.535    98311.289
      36.054       57.900    15358.293    98311.289
      37.056       59.900    15769.246    98311.289
      38.057       58.900    16174.785    98311.289
      39.059       60.900    16632.145    98311.289
      40.060       59.900    17037.426    98311.289
      41.062       56.900    17445.285    98311.289
      42.063       57.900    17848.762    98311.289
      43.065       59.900    18305.605    98311.289
      44.066       57.900    18708.051    98311.289
      45.068       60.900    19117.715    98311.289
      46.069       60.900    19567.082    98311.289
      47.071       56.900    19966.434    98311.289
      48.072       60.900    20417.863    98311.289
      49.074       55.900    20826.496    98311.289
      50.075       60.900    21271.223    98311.289
      51.077       55.900    21682.691    98311.289
      52.079       60.900    22125.098    98311.289
      53.080       60.900    22577.301    98311.289
      54.082       59.900    22978.715    98311.289
      55.083       60.900    23416.738    98311.289
      56.085       59.900    23842.387    98311.289
      57.086       60.900    24271.129    98311.289
      58.088       57.900    24693.426    98311.289
      59.089       58.900    25117.785    98311.289
      60.091       60.900    25533.895    98311.289
      61.092       60.900    25970.371    98311.289
